USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         460  0.0  0.0      0     0 ?        I<   17:56   0:00 [kworker/R-ext4-rsv-conversion]
systemd+     464  0.0  0.8  91872  8156 ?        Ssl  17:56   0:00 /usr/lib/systemd/systemd-timesyncd
root         559  0.0  0.2  12960  2180 ?        S<sl 17:56   0:00 /usr/sbin/auditd
root         619  0.0  0.2   5572  2264 ?        Ss   17:56   0:00 /usr/sbin/anacron -d -q -s
root         620  0.0  0.2   6864  2880 ?        Ss   17:56   0:00 /usr/sbin/cron -f
message+     621  0.0  0.4   8332  4920 ?        Ss   17:56   0:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         648  0.0  0.4 219688  4948 ?        Ssl  17:56   0:00 /usr/sbin/rsyslogd -n -iNONE
root         666  0.0  0.9  18888  9208 ?        Ss   17:56   0:00 /usr/lib/systemd/systemd-logind
root         712  0.0  0.6  17520  6688 ?        Ss   17:56   0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root         735  0.2  2.8 445548 28300 ?        Ssl  17:56   0:00 /usr/bin/python3 /usr/bin/fail2ban-server -xf start
root         741  0.0  0.6   9592  6120 ?        Ss   17:56   0:00 login -- jessie
root         742  0.0  0.7  11768  7920 ?        Ss   17:56   0:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root         751  0.0  0.0      0     0 ?        I    17:56   0:00 [kworker/u4:4-flush-8:0]
root         762  0.0  0.0      0     0 ?        S    17:56   0:00 [psimon]
jessie       764  0.0  1.2  22208 12392 ?        Ss   17:56   0:00 /usr/lib/systemd/systemd --user
jessie       766  0.0  0.3  24616  3788 ?        S    17:56   0:00 (sd-pam)
jessie       775  0.0  0.3   7228  3544 ?        Ss   17:56   0:00 /usr/bin/mpris-proxy
jessie       776  0.0  0.5   8824  5692 tty1     Ss   17:56   0:00 -bash
jessie       779  0.0  0.4   8192  4556 ?        Ss   17:56   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
jessie       786  0.0  0.4   9800  4684 tty1     R+   17:58   0:00 ps -aux
